Company Name,Orbit,Challenge Area,Industry,Business Model,Website,Featured,Description,Investors,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
Architizer,Assurance,Built Environment,e-commerce|network / hosting / infrastructure|real estate,B2B|Marketplace,http://architizer.com,1,"Architizer connects architects to a vibrant network of peers, fans, and potential clients.",Joanne Wilson|Alessandro Piol|Urban.Us,483,15,427,58,https://mattermark.com/app/data/47581/architizer,No,,,,architecture|construction|design,58,54,4,7,44,14,32,667224,669231,0,661182,1,,12,,24,,0,168381,,,,,720,563,28,2407,3357,-28,1555820,1552946,0,1541102,1,22043,21537,2,21760,21981,-1,4306,4236,2,4029,7,1/1/2009,Pre Series A,3508711,9/26/2014,1508711,new york,new york,new york,NY,usa,NA,Yes,13,51,29582.57
Lyft,Assurance,Built Environment,consumer services|hospitality|mobile|transportation,B2C|marketplace,http://lyft.com,1,Lyft's mobile-phone application facilitates peer-to-peer ridesharing by connecting passengers who need a ride to drivers who have a car.,Collaborative Fund|David Sacks|Floodgate Fund|FbFund|Floodgate Fund|K9 Ventures|Mayfield Fund|Founders Fund|Mayfield Fund|K9 Ventures|Floodgate Fund|Andreessen Horowitz|Rakuten|Didi Kuaidi|Carl Icahn|Fortress Investment Group|Carl Icahn|Coatue Management|Alibaba|Third Point Ventures|Andreessen Horowitz|Founders Fund|Mayfield Fund,5066,489,924,-856,https://mattermark.com/app/data/117766/lyft,No,,,,p2p,2279,2257,22,1,1763,516,29,964187,970317,-1,947910,2,320391,297868,8,287487,11,0,135911,,,,,3223,2340,38,10778,2036,429,318236,316961,0,314039,1,3316,4282,-23,3549,4952,-28,16060,15793,2,15085,6,1/1/2012,Late,1392500000,5/15/2015,530000000,bay area,san francisco,bay area,CA,usa,NA,Yes,5,1766,300113.25
Nest Labs,Assurance,Built Environment,consumer electronics|hardware|internet of things|physical security|security,B2C,http://nest.com,1,"Nest reinvents unloved but important home products, like the thermostat and smoke alarm. The company focuses on delighting customers with simple, beautiful and thoughtful hardware, software and services.",Kleiner Perkins Caufield & Byers|Kleiner Perkins Caufield & Byers|Kleiner Perkins Caufield & Byers|Dave Morin|Coyote Ridge Ventures|Red Sea Venture Partners|Slow Ventures|Kleiner Perkins Caufield & Byers|Shasta Ventures|Generation Investment Management|Shasta Ventures|Intertrust|Lightspeed Venture Partners|Kleiner Perkins Caufield & Byers|Google Ventures|Google Ventures|Venrock,1939,621,839,130,https://mattermark.com/app/data/51236/nest-labs,No,,,,android,817,799,18,2,660,157,24,2069288,2013078,3,1787796,16,8276,8435,-2,7741,7,0,145910,,,,,707,970,-27,4108,5620,-27,377794,375033,1,365412,3,10239,10554,-3,12748,8626,48,24647,24349,1,23384,5,1/1/2010,Exited (acquired),80000000,1/30/2013,80000000,bay area,palo alto,bay area,CA,usa,NA,Yes,33,6501,12305.8
Nextdoor,Core,Government,media|retail|social networking|Citizen Engagement,B2C,http://nextdoor.com,1,Nextdoor is the free private social network for your neighborhood community.,Dave Morin|Slow Ventures|Insight Venture Partners|Redpoint Ventures|Meritech Capital Partners|Coatue Management|Benchmark|Greylock Partners|Tiger Global Management|Kleiner Perkins Caufield & Byers|Comcast Ventures|Shasta Ventures|Google Ventures|Greylock Partners|Benchmark|DAG Ventures|Shasta Ventures|Allen & Company|Pinnacle Ventures|Bezos Expeditions|Slow Ventures|Comcast Ventures|Tiger Global Management|Kleiner Perkins Caufield & Byers|Shasta Ventures|Greylock Partners|Benchmark|SV Angel|Allen & Company|Shasta Ventures|Pinnacle Ventures|Benchmark|Greylock Partners,1033,8,976,-943,https://mattermark.com/app/data/92790/nextdoor,No,,,,android|community|local|privacy,179,173,6,3,168,11,7,4780905,4718276,1,4457065,7,7460,7326,2,5116,46,0,14545,,,,,435,270,61,1427,1309,9,150123,147585,2,139782,7,3041,2877,6,2902,2943,-1,3219,3187,1,3065,5,1/1/2010,Late,210200000,3/4/2015,110000000,bay area,san francisco,bay area,CA,usa,NA,Yes,8,24,4583333.33
OneWheel / Future Motion,Safety,Mobility & Logistics,transportation,B2C,http://rideonewheel.com,1,skateboard: the closest thing to a hoverboard you can ride,,300,6,300,248,https://mattermark.com/app/data/235875/onewheel,No,,,,,8,8,0,0,2,6,300,31334,24961,26,16461,90,,,,,,,2079,,,,,4,15,-73,58,268,-78,23224,22997,1,20966,11,907,1425,-36,381,3861,-90,48,46,4,42,14,1/1/2013,Pre Series A,630000,7/25/2014,0,bay area,palo alto,bay area,CA,usa,NA,Yes,15,27,0
OpenGov,Core,Government,analytics|government,B2G,http://opengov.com,1,Financial Transparency and Business Intelligence Software,Founder Collective|Streamlined Ventures|Roger Dickey|Formation 8|Andreessen Horowitz|Thrive Capital|AITV|SGVC|Kindred Partners|Kindred Partners|Sound Ventures|Andreessen Horowitz|Thrive Capital|Scott Cook|Signature Capital Securities|FF Angel LLC|Formation 8|Valiant Capital Partners|Thrive Capital|Goldcrest Investments,273,0,273,8,https://mattermark.com/app/data/155731/,No,,,,data visualization,71,70,1,1,53,18,34,10804,11334,-5,9890,9,,,,,,,7,,,,,0,0,,0,2,-100,1554,1545,1,1520,2,40,31,29,22,245,-91,555,550,1,535,4,1/1/2012,C,44000000,10/15/2015,25000000,bay area,mountain view,bay area,CA,usa,NA,No,0,,0
Opower,Assurance,Resources,cleantech|e-commerce|energy|enterprise software,B2B|SaaS,http://opower.com,1,"Combines a cloud-based platform, big data, and behavioral science to help utilities around the world reduce energy consumption. The company went public in March 2014.",Founder Collective|MHS Capital|Wing Venture Capital|Kleiner Perkins Caufield & Byers|Accel Partners|MHS Capital|Hadi Partovi|Ali Partovi|New Cycle Capital|MHS Capital|New Enterprise Associates,761,295,229,-23,https://mattermark.com/app/data/22594/opower,No,,,,big data|smart grid|sustainability,674,674,0,0,654,20,3,807192,807006,0,783168,3,,,,,,,15164,,,,,128,253,-49,708,670,6,,4639,,4639,,50,,,50,,,13098,12899,2,12524,5,1/1/2007,Exited (ipo),65700000,11/29/2010,50000000,washington d.c.,arlington,washington d.c.,VA,usa,NA,No,59,4721,10590.98
Skycatch,Assurance,Built Environment,drones|hardware|physical security|security,B2B,http://skycatch.com,1,Scalable Aerial Robotics Platform,Avalon Ventures|Nexus Venture Partners|Riverwood Capital|Sherpalo Ventures|Avalon Ventures|ZPark Capital|VegasTechFund|Bee Partners|SierraMaya360|Google Ventures|Ram Shriram|ff Venture Capital|Ellen Levy|Richard Levandov,539,6,395,-506,https://mattermark.com/app/data/141834/skycatch,No,,,,aerospace|pioneer250,83,79,4,5,57,26,46,16596,18125,-8,24945,-33,,,,,,,3728,,,,,91,24,279,192,445,-57,13013,13013,0,12920,1,38,918,-96,31,535,-94,852,805,6,715,19,1/1/2013,B,35300000,8/20/2015,22000000,bay area,san francisco,bay area,CA,usa,NA,No,2,3,7333333.33
Uber,Assurance,Built Environment,hospitality|mobile|passenger transport,B2C|marketplace|B2B,http://uber.com,1,Uber is a mobile app connecting passengers with drivers for hire.,Weathergage Capital|Industry Ventures|Google|Wellington Management|Kleiner Perkins Caufield & Byers|Google Ventures|BlackRock|Fidelity Investments|Summit Partners|Menlo Ventures|Garrett Camp|Travis Kalanick|Goldman Sachs|Baidu|New Enterprise Associates|Lone Pine Capital|Valiant Capital Partners|Qatar Investment Authority|Structure Capital|Techstars|Josh Spear|First Round Capital|Lowercase Capital|Techstars Ventures|Mitchell Kapor|Founder Collective|Cyan Banister|Babak Nivi|Alfred Lin|Scott Banister|Jason Calacanis|Mike Walsh|Naval Ravikant|Shawn Fanning|Oren Michels|Microsoft Ventures|Times Internet Ltd.|Bennett Coleman and Co|Tusk Ventures|Techstars|Tata Group|Techstars Ventures|Baidu|Google Ventures|TPG Growth|Menlo Ventures|Jeff Bezos|Goldman Sachs|Benchmark|Alfred Lin|First Round Capital|Innovation Endeavors|Lowercase Capital|Scott Banister,17415,1447,1849,-1033,https://mattermark.com/app/data/41063/uber,No,,,,android|mobile|p2p,10447,9965,482,5,5460,4987,91,6638831,6698919,-1,6891686,-4,1487222,1462002,2,1378213,8,0,385922,,,,,17252,14309,21,66161,106659,-38,2813280,2759320,2,2660437,6,11260,9057,24,7079,6933,2,160383,156738,2,145235,10,3/1/2009,Late,8207450000,9/7/2015,1200000000,bay area,san francisco,bay area,CA,usa,NA,Yes,2,1447,829302
Waze,Safety,Mobility & Logistics,social networking|transportation,B2C,http://waze.com,1,"A free mobile navigation app for smartphones that allows drivers to use live maps, real-time traffic updates, and other road data",BlueRun Ventures|Vertex Venture Capital|Magma Venture Partners (Magma VC)|Vertex Venture Capital|Magma Venture Partners (Magma VC)|BlueRun Ventures|Horizons Ventures|Kleiner Perkins Caufield & Byers,503,63,392,122,https://mattermark.com/app/data/25001/waze,No,,,,android|maps,147,141,6,4,124,23,19,1180703,1171802,1,1158990,2,904228,891721,1,872903,4,0,184052,,,,,6554,6673,-2,34183,37121,-8,1495225,1404044,6,1369800,9,6541,7944,-18,6406,10298,-38,5361,5291,1,5073,6,1/1/2008,Exited (acquired),67000000,10/18/2011,30000000,tel aviv,tel aviv,,,isr,AS,Yes,48,670,44776.12
99Taxis,Assurance,Resources,mobile|transportation,B2C,http://99taxis.com,,,Tiger Global Management|Monashees Capital|Qualcomm Ventures,893,59,530,276,https://mattermark.com/app/data/187184/,No,,,,android|location based services (lbs),108,102,6,6,64,44,69,288587,302379,-5,271578,6,,,,,,,14668,,,,,40,45,-11,184,58,217,128848,124796,3,114741,12,21009,18818,12,29139,25728,13,1444,1217,19,507,185,1/1/2012,A,28000000,2/2/2015,28000000,são paulo,são paulo,,,bra,SA,Yes,9,258,108527.13
Acacia Energy,Assurance,Resources,Renewable Energy,B2C,http://www.acaciaenergy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
