Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
99Taxis,Tiger Global Management|Monashees Capital|Qualcomm Ventures,Safety,mobile|transportation,B2C,893,59,530,276,https://mattermark.com/app/data/187184/,http://99taxis.com,,No,,,,android|location based services (lbs),108,102,6,6,64,44,69,288587,302379,-5,271578,6,,,,,,,14668,,,,,40,45,-11,184,58,217,128848,124796,3,114741,12,21009,18818,12,29139,25728,13,1444,1217,19,507,185,01/01/12,A,28000000,02/02/15,28000000,são paulo,são paulo,,,bra,SA,Yes,9,258,108527.13
Acadia Energy,,Assurance,Renewable Energy,B2C,,,,,,http://www.acaciaenergy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Microgrid Solutions,ENGIE (formerly GDF SUEZ)|DBL Investors,Assurance,cleantech|energy,B2B,341,4,234,-15,https://mattermark.com/app/data/11015898/,http://advmicrogrid.com,"Advanced Microgrid Solutions (AMS) is pioneering the use of energy storage systems for electric utility grid support. Using a technology-agnostic approach, the company designs, finances, installs and manages advanced energy storage solutions for commercial, industrial and government building owners.",No,,,,clean energy|sustainability,18,15,3,20,,,,136,275,-51,255,-47,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/12,A,18000000,07/13/15,18000000,bay area,san francisco,bay area,CA,usa,NA,No,3,5,3600000
Aero Glass,,Safety,transportation,B2B|B2C,175,3,175,15,https://mattermark.com/app/data/271016/,http://glass.aero,,No,,,,aerospace|augmented reality|defense,5,5,0,0,3,2,67,263,281,-6,208,26,,,,,,,672,,,,,0,0,,16,3,433,3009,3004,0,2975,1,14,14,0,7,62,-89,192,191,1,188,2,01/01/14,Pre Series A,100000,05/01/14,100000,,,,,,,No,18,19,5263.16
AirMap,Lux Capital|The Social+Capital Partnership|Bullpen Capital|TenOneTen Ventures|Legend Capital|Haystack Fund,Safety,network / hosting / infrastructure|transportation,B2B|B2C,117,2,69,47,https://mattermark.com/app/data/10969670/,http://airmap.io,Drone airspace mapping company,No,,,,aerospace|databases,5,4,1,25,,,,1285,1244,3,935,37,,,,,,,7,,,,,,,,,,,74,71,4,62,19,4,4,0,1,1,0,,,,,,01/01/14,Pre Series A,2600000,07/28/15,2600000,los angeles,santa monica,los angeles,CA,usa,NA,No,3,4,650000
Airware,Y Combinator|GE Ventures|Intel Capital|Fresh VC|Andreessen Horowitz|Google Ventures|Kleiner Perkins Caufield & Byers|Andreessen Horowitz|First Round Capital|YC Winter 2013,"Assurance, Safety",drones|enterprise software|hardware|transportation,B2B,404,14,313,37,https://mattermark.com/app/data/118194/,http://airware.com,"Hardware, Software and Cloud Services for Commercial Drones",No,,,,aerospace|development platform|pioneer250,92,94,-2,-2,80,12,15,14445,15089,-4,12447,16,,,,,,,807,,,1,80600,0,0,,0,1,-100,1527,1521,0,1484,3,13,11,18,22,16,38,1622,1592,2,1497,8,01/01/11,Late,35980000,04/17/15,0,bay area,san francisco,bay area,CA,usa,NA,No,6,67,0
Allryder,,Safety,mobile|transportation,B2B|B2C,166,17,166,2,https://mattermark.com/app/data/231490/,http://allryder.com,"Discover all transit options: metro, bahn, tube, bus, tram, bike share, car share and taxi in one simple app. Conquer urban transport in Berlin, Munich, London",No,,,,android|iphone,33,29,4,14,25,8,32,5,19,-74,145,-97,,,,,,,1089,,,,,40,37,8,130,169,-23,5254,5231,0,5221,1,112,72,56,53,89,-40,142,140,1,132,8,01/01/14,Pre Series A,2000000,01/02/14,2000000,berlin,berlin,,,deu,EU,No,22,150,13333.33
Alphabet Energy,Claremont Creek Ventures|TPG Biotech|Claremont Creek Ventures|Claremont Creek Ventures|TPG Biotech|Hercules Technology Growth Capital,Assurance,agriculture|cleantech|energy,B2B,137,19,100,293,https://mattermark.com/app/data/37725/alphabet-energy,http://alphabetenergy.com,Alphabet Energy is a leading innovator in the field of waste heat recovery and manufactures the world's first low cost thermoelectric generator.,No,,,,,40,38,2,5,37,3,8,583,613,-5,467,25,,,,,,,864,,,,,6,5,20,11,15,-27,79,75,5,30,163,13,8,63,6,3,100,1234,1159,6,922,34,01/01/09,B,31000000,03/11/13,16000000,bay area,san francisco,bay area,CA,usa,NA,No,32,254,62992.13
Altaeros Energies,SoftBank Group|MassChallenge 2011,Assurance,agriculture|cleantech|energy,B2B,148,14,112,39,https://mattermark.com/app/data/118583/altaeros-energies,http://altaerosenergies.com,"Altaeros Energies develops airborne wind turbine to produce abundant, low cost, renewable energy.",No,,,,defense,25,25,0,0,20,5,25,2102,2455,-14,2359,-11,,,,,,,511,,,,,2,5,-60,17,86,-80,1896,1888,0,1860,2,17,14,21,6,13,-54,3697,3622,2,3304,12,01/01/10,A,7000000,12/04/14,7000000,boston,boston,boston,MA,usa,NA,No,11,109,64220.18
AMPY,NewGen Venture Partners|Clean Energy Trust|Clean Energy Trust,Assurance,cleantech|energy|fitness and wellness|hardware|internet of things|mobile,B2C,171,0,171,37,https://mattermark.com/app/data/10899238/,http://getampy.com,AMPY is a wearable kinetic energy charger that uses the power you generate by being active to charge your mobile devices such as your smartphone.,No,,,,,7,7,0,0,4,3,75,6286,7487,-16,8221,-24,,,,,,,970,,,,,10,75,-87,175,462,-62,2523,2492,1,2455,3,40,40,0,32,27,19,5,,,,,01/01/14,Pre Series A,950000,10/22/15,875000,chicago,chicago,,IL,usa,NA,No,0,,0
Anagog,Avi Shechter|Dan Vilenski,Safety,mobile|transportation,B2B,137,4,118,0,https://mattermark.com/app/data/303546/,http://anagog.com,A parking solution by monitoring mobile phonesâ€™ sensors.,No,,,,,4,3,1,33,1,3,300,33,72,-54,135,-76,,,,,,,34,,,,,0,0,,0,35,-100,52,50,4,44,18,2,,,2,,,18,16,13,12,50,,Pre Series A,1000000,12/03/14,1000000,ramat gan,ramat gan,,,isr,AS,No,11,17,58823.53
Aquicore,Acceleprise Ventures|Marc Benioff|1776 Investments|Efficient Corporate|Acceleprise DC Cohort 2,Assurance,cleantech|energy|enterprise software|real estate,B2B|SaaS,109,1,109,143,https://mattermark.com/app/data/178992/aquicore,http://aquicore.com,"Aquicore is an energy intelligence solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",No,,,,sustainability,39,38,1,3,26,13,50,1080,652,66,165,555,,,,,,,494,,,,,4,4,0,25,58,-57,413,411,0,407,1,7,5,40,55,24,129,212,207,2,197,8,01/01/13,Pre Series A,3100000,09/02/15,3100000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,2,1,3100000
arcadiapower.com,,Assurance,cleantech|energy|human resources hr,B2B|B2C,336,6,294,542,https://mattermark.com/app/data/10383786/,http://arcadiapower.com,Clean energy made simple,No,,,,big data|clean energy,12,11,1,9,6,6,100,17467,17939,-3,14539,20,,,,,,,380,,,,,,,,,,,7359,7128,3,,,262,235,11,,,,37,35,6,29,28,01/01/13,Pre Series A,500000,09/01/14,500000,washington d.c.,washington d.c.,washington d.c.,DC,usa,NA,No,14,25,20000
Architizer,Joanne Wilson|Alessandro Piol|Urban.Us,Assurance,e-commerce|network / hosting / infrastructure,B2B|Marketplace,483,15,427,58,https://mattermark.com/app/data/47581/architizer,http://architizer.com,"Architizer connects architects to a vibrant network of peers, fans, and potential clients.",No,,,,architecture|construction|design,58,54,4,7,44,14,32,667224,669231,0,661182,1,,12,,24,,0,168381,,,,,720,563,28,2407,3357,-28,1555820,1552946,0,1541102,1,22043,21537,2,21760,21981,-1,4306,4236,2,4029,7,01/01/09,Pre Series A,3508711,09/26/14,1508711,new york,new york,new york,NY,usa,NA,Yes,13,51,29582.57
Astro,Techstars|Lerer Hippeau Ventures|Crosslink Capital|Winklevoss Capital|Zelkova Ventures|Maiden Lane Ventures|Rugged Ventures|R/GA 2015,Safety,hardware|internet of things,B2C,437,-1,447,787,https://mattermark.com/app/data/291067/,http://hellotwist.com,Astro makes the connected home easier and more accessible than ever before through their product Twist,No,,,,consumer electronics|internet of things|wireless,4,4,0,0,3,1,33,34407,29933,15,17086,101,,,,,,,660,,,,,5,3,67,11,35,-69,10680,9825,9,7546,42,928,928,0,572,521,10,42,40,5,36,17,01/01/14,Pre Series A,3000000,06/24/15,3000000,new york,new york,new york,NY,usa,NA,No,4,1,3000000
August,Founders Den|CAA Ventures|Fuseproject|Bessemer Venture Partners|Comcast Ventures|Qualcomm Ventures|Cowboy Ventures|Industry Ventures|Rho Ventures|SoftTech VC|Philip Kaplan|Matt Mullenweg|Jay Adelson|Zack Bogue|Matt Ocko|Rick Marini|Mike Marquez|David Spector|Nicholas Negroponte|Tony Conrad|SoftTech VC|Cowboy Ventures|Center Electric|Dolby Family Ventures|QueensBridge Venture Partners|CAA Ventures|Quotidian Ventures|Maveron|SoftTech VC|Rho Ventures|Industry Ventures|Cowboy Ventures,Safety,consumer electronics|hardware|internet of things|physical security|security,B2C,767,45,502,49,https://mattermark.com/app/data/151840/august,http://august.com,"August is the maker of the August Smart Lock, the safe, simple, and social way for people to share access to their home",No,,,,consumer electronics|internet of things|pioneer250,72,66,6,9,39,33,85,223762,223907,0,214120,5,,1136,,1136,,0,6578,,,,,95,126,-25,647,558,16,10296,10246,0,10049,2,71,105,-32,56,303,-82,550,537,2,497,11,01/01/12,B,48000000,03/25/15,38000000,bay area,san francisco,bay area,CA,usa,NA,Yes,7,179,212290.5
Aunt Bertha Software,Code for America Accelerator,Safety,enterprise software|government,B2B|SaaS,73,,55,5,https://mattermark.com/app/data/136886/aunt-bertha-software,http://auntbertha.com,Aunt Bertha enables individuals to find and apply for government and charitable social service programs.,No,,,,,14,13,1,8,10,4,40,573,635,-10,881,-35,,,,,,,2093,,,,,5,1,400,15,240,-94,1234,1230,0,1226,1,9,6,50,4,2,100,100,99,1,95,5,01/01/10,Pre Series A,0,,,austin,austin,austin,TX,usa,NA,No,,,
Autogrid,Voyager Capital|Foundation Capital|Voyager Capital|Foundation Capital|Stanford University,Assurance,analytics|cleantech|energy|internet of things,B2B,146,12,116,0,https://mattermark.com/app/data/102225/,http://auto-grid.com,AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data.,No,,,,internet of things|smart grid,43,46,-3,-7,44,-1,-2,428,471,-9,484,-12,,,,,,,462,,,,,0,3,-100,7,9,-22,366,364,1,363,1,1,1,0,2,1,100,695,690,1,673,3,01/01/11,C,21750000,01/27/14,12750000,bay area,redwood shores,bay area,CA,usa,NA,No,21,203,62807.88
Automatic,,Safety,Mobility|Connected Car|IOT,B2C,,,,,,http://automatic.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automatic Labs,Amicus Capital|Y Combinator|RPM Ventures|Lumia Capital|USAA|Comcast Ventures|Y Combinator|RPM Ventures|Anthemis|Amicus Capital|Mark Goines|Jared Kopf|Dan Rose|YC Summer 2011,Safety,automotive|hardware|mobile,B2B|B2C,433,6,355,2,https://mattermark.com/app/data/123028/automatic,http://automatic.com,"The Automatic app and plug-in car adapter turns just about any car into a connected car. Diagnose check engine codes, get driving feedback, mileage tracking and expensing, emergency service in a crash, and more. Explore the Automatic App Gallery to find an app for any driver.",No,,,,big data|pioneer250,69,69,0,0,56,13,23,368066,369431,0,440030,-16,,113,,678,,0,8246,,,,,95,72,32,443,85,421,29138,29123,0,29114,0,47,64,-27,40,93,-57,1343,1333,1,1301,3,01/01/11,B,24000000,06/25/15,24000000,bay area,san francisco,bay area,CA,usa,NA,Yes,4,16,1500000
Azure Power,Foundation Capital|Helion Venture Partners,Assurance,cleantech|energy|solar power,B2B,203,67,76,0,https://mattermark.com/app/data/18557/,http://azurepower.com,"Azure Power produces and distributes solar power to commercial, government and utility customers in India.",No,,,,,138,130,8,6,106,32,30,2271,2595,-12,2670,-15,,,,,,,90,,,,,1,0,,2,5,-60,35,35,0,35,0,,,,,,,1998,1980,1,1923,4,01/01/08,A,13600000,11/22/11,13600000,new delhi,new delhi,,,ind,AS,No,47,654,20795.11
