Company Name,URL,Orbit,Distribution Channel,Tags,Image
Acadia Energy,http://www.acaciaenergy.com/,Assurance,B2C,"Energy, Home, Supply",acacia.png
Ag Local,https://www.aglocal.com/,Core,B2C,Food,aglocal.png
Airware,http://airware.com,"Assurance, Safety",B2B,"Drones, Energy, Safety, Security, Resilience",airware.png
Architizer,Http://architizer.com,Assurance,B2B,"Energy, Sustainability, Reslience",architizer.png
Astro,http://www.astro.ai/#/,Safety,B2C,"Energy, Sustainability",
August,http://august.com,Safety,B2C,,august.png
Automatic,http://automatic.com,Safety,B2C,,
Bandwagon.io,Http://bandwagon.io,Safety,B2B,Transport,bandwagon.png
Bikespike,Http://bikespike.com,Safety,"B2C, B2B",,BikeSpike.png
Birdi,http://birdi.io,Core,"B2C, B2B",,birdi.png
Bitlock / Mesh Motion Inc,http://bitlock.co/,Safety,B2C,"Security, Cycling, IOT",bitlock.png
BlueLight,Http://getbluelight.com,Safety,B2C,"Security, Personal",
BlueLine Grid,http://www.bluelinegrid.com/,Safety,B2G,,blueline.png
BRCK,Http://brck.com,Assurance,"B2C, B2B","Resilience, IOT",
Bridj,http://bridj.com,Safety,"B2C, B2B",Transport,bridj.png
Bright Farms,http://www.brightfarms.com/s/,Core,B2B,Food,brightfarms.png
"Buzzcar, Inc.",http://www.buzzcar.com/en/,Safety,B2C,Transport,
ca biotics,Http://ca-botics.com,Assurance,B2B,Connectivity,
Caarbon,http://caarbon.com,Safety,B2C,"Transport, Parking",caarbon.png
Canary,http://canary.is,Safety,B2C,"Security, Safety, Home, Rental, IOT",canary.png
Carvoyant,http://carvoyant.com,Safety,B2C,"Transport, IOT, Connected Car",carvoyant.png
Chai Energy,http://mychai.co,Safety,B2C,Energy,chaienergy.jpg
Changing Environments,http://www.changing-environments.com/,Assurance,B2G,Connectivity,
CINTEP,http://www.recyclingshower.com.au/,Core,B2C,Water,
Citymapper,http://citymapper.com,Safety,B2C,"Transport, Multi-modal",citymapper.png
CityTrackerX,http://www.citytrackerx.com/,Safety,B2G,Big Data,citytracker.png
Civic Insight,Http://civicinsight.com,Safety,B2G,,civicinsight.png
Civico,http://www.civico.com/ciudades,Safety,"B2C, B2B","Opportunity, Safety, Wellness",civico.png
ClearPath,http://myfastestpath.com,Safety,B2C,Transport,
Cliqk,https://cliqk.com/,Assurance,B2C,,
Compology,Http://compology.us,Core,B2B,Waste,compology.png
connecthings,http://connectthings.com,Assurance,B2C,"IOT, Platform",
Dash Labs Inc,http://dash.by,Safety,"B2C, B2B","Transport, Connected Car, IOT",dash.png
DriveSafe,https://angel.co/drivesafe-1,Safety,B2C,Transport,
Dropcam,http://dropcam.com,Safety,B2C,"Security, Safety",dropcam.png
Dropcountr,http://dropcountr.com/,Core,B2C,Water,dropcountr.png
"e-Chromic Technologies, Inc.",http://www.echromic.com/,Assurance,B2B,Energy,
Emrals,www.emrals.com,Safety,B2G,Governance,
Enertiv,http://enertiv.com,Assurance,B2B,"Energy, Demand",enertiv.png
Farmigo,http://farmigo.com,Core,B2B,,
FirstFuel Software,Http://firstfuel.com,Assurance,B2B,Energy,firstfuel.png
Flair Vents,http://www.flair.zone/,Assurance,B2C,"Energy, Home, HVAC",
Fortified Bicycle,http://fortifiedbike.com/,Safety,B2C,"Transport, Cycling",fortified.png
Fuse from Kynetx,http://joinfuse.com,Safety,B2C,,fuse.png
FusedCow,http://fusedcow.com/,Core,"B2B, B2C",,fusedcow.png
Future Motion,rideonewheel.com,Safety,B2C,"Transport, Personal Mobility",futuremotion.png
"Getaround, Inc.",http://www.getaround.com,Safety,B2C,Transport,
GetTaxi,http://gettaxi.com,Safety,B2C,Transport,
Goal Zero,http://goalzero.com,Assurance,B2C, B2B,
GOVonomy,https://www.govonomy.com/,Assurance,"B2G, B2B",,
Greater Places,http://greaterplaces.com,Assurance,B2G,Planning,
Hailo,http://hailocab.com,Safety,B2C,"Transport, Car Sharing",hailo.png
HammerHead,http://hammerhead.io/,Safety,B2C,"Transport, Cycling",hammerhead.png
HandUp,Http://handup.us,Core,"B2C, B2B",,handup.png
HDscores,HDScores.com,Safety,B2B,,hdscores.png
Helmet Hub,http://helmet-hub.com,Safety,B2B,,helmethub.png
HEVO Power,http://teamhevo.com,Assurance,B2B,,
Keen Home,http://keenhome.io,Assurance,B2C,"Energy, Home, HVAC",keen.png
Kiwi Ki,Http://kiwi.ki,Safety,"B2B, B2C","Safety, Security, Access Control",kiwiki.png
Lagoon,http://goLagoon.com,Core,B2C,"Water, Home",lagoon.png
Light Sail,http://lightsail.com,Assurance,B2B,Energy,
Lit motors,http://litmotors.com/,Safety,B2C,"Transportation, EV",litmotors.png
LocalData,http://localdata.com/,Safety,B2G,Citizen Engagement,localdata.png
LOCK8,http://lock8.me,Safety,B2B,"Transport, Security, Cycling",lock8.png
Lockitron,http://lockitron.com,Safety,B2C,"Safety, Security, Access Control",
LocalMotion,https://www.getlocalmotion.com/,Safety,"B2B, B2C",Transportation,localmotion.png
LocoMobi Inc,http://locomobi.com/,Assurance,B2G,"Computer Vision, Big Data, Governance",locmobi.png
Loveland Technologies,http://makeloveland.com/,Assurance,B2G,"Opportunity, Finance",lovelandtech.png
Lyft,http://lyft.com,Safety,B2C,"Transport, Car Sharing",lyft.png
Mapillary,http://mapillary.com,Assurance,B2B,Transparency,mapillary.png
Mark43,Http://mark43.com,Safety,B2G,"Big Data, Governance",mark43.png
Matterport,http://matterport.com/,Safety,B2B,Real Estate,
Metropia,http://www.metropia.com/,Safety,"B2G, B2C, B2B","Transport, Traffic Management",metropia.png
